品目コード,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項
24151121000,ﾍﾂﾄ41ﾟC,15,C/S,〇,"8,000",〇,"6,000",A,,,×,,,,,×,×,
25105621000,ﾊﾟﾈﾘ-PV(12),15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25117722830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-ADF (S),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25117722850,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-ADF(H),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25118721810,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄPV-ADF(SS),15,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,準高,,×,×,
25118721830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄPV-ADF (S),15,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,,,×,×,
25120028810,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(SS),15,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),15,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25120028850,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(M),15,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),15,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25120028890,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(HH),15,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25120029830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S)DIR,15,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25120029870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H)DIR,15,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25126221000,ｽﾃｲﾔ-SA,15,C/S,〇,"6,500",〇,"6,000",A,,〇,×,,〇,高,,×,×,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA
25130921830,ｼﾖ-ﾄﾆﾝｸﾞAM DIR(S),15,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,,,×,×,
25130921850,ｼﾖ-ﾄﾆﾝｸﾞAM DIR(M),15,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,,,×,×,
25132325830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄCF 10K(S),10,C/S,〇,"5,400",〇,"5,400",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25132325870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄCF 10K(H),10,C/S,〇,"5,400",〇,"5,400",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25134723850,IKｼﾖ-ﾄ(M),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25134723870,IKｼﾖ-ﾄ(H),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25138421830,ISｼﾖ-ﾄﾆﾝｸﾞ(S),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,準高,,×,×,底パッド敷あり。公出時生産不可。
25152321830,PSV(S),15,C/S,〇,"8,000",〇,"4,400",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25211221030,ﾊﾟﾈﾘ-ｼﾖ-ﾄS (3),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25211221040,ﾊﾟﾈﾘ-ｼﾖ-ﾄS (4),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25211221050,ﾊﾟﾈﾘ-ｼﾖ-ﾄS (5),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25211221060,ﾊﾟﾈﾘ-ｼﾖ-ﾄS (6),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25211221070,ﾊﾟﾈﾘ-ｼﾖ-ﾄS (7),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25211321030,ﾋﾞｸﾄﾘ-ｼﾖ-ﾄ (3),15,C/S,〇,"8,000",〇,"5,800",A,,,×,〇,〇,,,×,×,
25211321040,ﾋﾞｸﾄﾘ-ｼﾖ-ﾄ (4),15,C/S,〇,"8,000",〇,"5,800",A,,,×,〇,〇,,,×,×,
25211321050,ﾋﾞｸﾄﾘ-ｼﾖ-ﾄ (5),15,C/S,〇,"8,000",〇,"5,800",A,,,×,〇,〇,,,×,×,
25211321060,ﾋﾞｸﾄﾘ-ｼﾖ-ﾄ (6),15,C/S,〇,"8,000",〇,"5,800",A,,,×,〇,〇,,,×,×,
25212222830,ﾁｴｽﾀ-88-TL(S),15,C/S,〇,"5,400",〇,"6,000",A,,,×,〇,〇,,,×,×,
25212222850,ﾁｴｽﾀ-88-TL(M),15,C/S,〇,"5,400",〇,"6,000",A,,,×,〇,〇,,,×,×,
25212222870,ﾁｴｽﾀ-88-TL(H),15,C/S,〇,"5,400",〇,"6,000",A,,,×,〇,〇,,,×,×,
25212521030,ｼﾖ-ﾄﾆﾝｸﾞFJP DIR(3),15,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25212711000,ﾓ-ｾﾞﾙｿﾌﾄ-TL,15,CAN,〇,"7,500",〇,"4,200",A,,,×,〇,,準高,,×,×,
25213124030,ﾁｴｽﾀ- 88(12.7K)(3),12.7,C/S,〇,"6,800",〇,"6,000",A,,,×,〇,〇,,,×,×,
25213124040,ﾁｴｽﾀ- 88(12.7K)(4),12.7,C/S,〇,"6,800",〇,"6,000",A,,,×,〇,〇,,,×,×,
25213124050,ﾁｴｽﾀ- 88(12.7K)(5),12.7,C/S,〇,"6,800",〇,"6,000",A,,,×,〇,〇,,,×,×,
25213221810,ﾁｴｽﾀ-77(S),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25213221830,ﾁｴｽﾀ-77(M),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25213221850,ﾁｴｽﾀ-77(H),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25215821000,S.T ｼﾖ-ﾄ,15,C/S,〇,"6,500",〇,"5,500",A,,〇,×,,〇,,,×,×,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA
25217621330,ｻﾝﾄﾞｼﾖ-ﾄNT (33ﾟC),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
25217621360,ｻﾝﾄﾞｼﾖ-ﾄNT (36ﾟC),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
25217621380,ｻﾝﾄﾞｼﾖ-ﾄNT (38ﾟC),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
25217722000,ﾁｪｽﾀ-LPV-TL2(18K),18,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,底パッド敷あり。公出時生産不可。
25217723000,ﾁｪｽﾀ-LPV-TL2(16.6K),16.6,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,底パッド敷あり。公出時生産不可。
25217922850,AP-1 (M),18.8,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,,,,×,×,
25220221000,ｼｮ-ﾄﾆﾝｸﾞCC,15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25220421830,TRｼｮ-ﾄSEJ2(S),15,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25220821830,PVｼﾖ-ﾄ(B)-L (S),15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25221521030,ﾆﾕ-ｼﾖ-ﾄ (C) (3),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,準高,,×,×,
25221521040,ﾆﾕ-ｼﾖ-ﾄ (C) (4),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,準高,,×,×,
25221521050,ﾆﾕ-ｼﾖ-ﾄ (C) (5),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25221521060,ﾆﾕ-ｼﾖ-ﾄ (C) (6),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25221521070,ﾆﾕ-ｼﾖ-ﾄ (C) (7),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25221522030,ﾆﾕ-ｼﾖ-ﾄ (C)DIR (3),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,準高,,×,×,
25221522040,ﾆﾕ-ｼﾖ-ﾄ (C)DIR (4),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,準高,,×,×,
25221522050,ﾆﾕ-ｼﾖ-ﾄ (C)DIR (5),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25221522060,ﾆﾕ-ｼﾖ-ﾄ (C)DIR (6),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25221522070,ﾆﾕ-ｼﾖ-ﾄ (C)DIR (7),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25221523030,ﾆﾕ-ｼﾖ-ﾄ(C)10K(3),10,C/S,〇,"5,400",〇,"4,100",A,,,×,,〇,準高,,×,×,
25221523040,ﾆﾕ-ｼﾖ-ﾄ(C)10K(4),10,C/S,〇,"5,400",〇,"4,100",A,,,×,,〇,準高,,×,×,
25221523050,ﾆﾕ-ｼﾖ-ﾄ(C)10K(5),10,C/S,〇,"5,400",〇,"4,100",A,,,×,,〇,,,×,×,
25221523060,ﾆﾕ-ｼﾖ-ﾄ(C)10K(6),10,C/S,〇,"5,400",〇,"4,100",A,,,×,,〇,,,×,×,
25221523070,ﾆﾕ-ｼﾖ-ﾄ(C)10K(7),10,C/S,〇,"5,400",〇,"4,100",A,,,×,,〇,,,×,×,
25222122030,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ(3),15,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,準高,,×,×,
25222122040,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ(4),15,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25222122050,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ(5),15,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25222122060,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ(6),15,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25222123030,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(3),20,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,準高,,×,×,
25222123040,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25222123050,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(5),20,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25222522030,ﾊﾟﾈﾘ-ｼﾖ-ﾄST-2-TL(32),20,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,
25222522040,ﾊﾟﾈﾘ-ｼﾖ-ﾄST-2-TL(35),20,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,
25222522060,ﾊﾟﾈﾘ-ｼﾖ-ﾄST-2-TL(38),20,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,
25223311000,ｱﾒﾘｶ-ﾅDX-TL,16,CAN,〇,"5,400",〇,"5,800",A,,,×,,,,,×,×,
25223325020,ｱﾒﾘｶ-ﾅDX-TL,10,C/S,〇,"5,400",〇,"5,400",A,〇,,×,,,,,×,×,
25224021000,ABｼﾖ-ﾄ(PM),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25224122020,ｱﾒﾘｶ-ﾅV,10,C/S,〇,"5,400",〇,"5,400",A,,,×,,,,,×,×,
25224321030,PVｼﾖ-ﾄ(B) (3),15,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,準高,,×,×,
25224321040,PVｼﾖ-ﾄ(B) (4),15,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
25224321050,PVｼﾖ-ﾄ(B) (5),15,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
25224321060,PVｼﾖ-ﾄ(B) (6),15,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
25224329030,PVｼﾖ-ﾄ(B) DIR (3),15,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,準高,,×,×,
25224329040,PVｼﾖ-ﾄ(B) DIR (4),15,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
25224329050,PVｼﾖ-ﾄ(B) DIR (5),15,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
25224621030,ｱﾙｽﾀ-ｼﾖ-ﾄﾆﾝｸﾞ (3),15,C/S,〇,"8,000",〇,"4,400",A,,,×,,〇,,,×,×,
25225523030,ICｼﾖ-ﾄ 12K(3),12,C/S,〇,"6,500",〇,"6,000",A,,,×,,〇,,,×,×,
25225523040,ICｼﾖ-ﾄ 12K(4),12,C/S,〇,"6,500",〇,"6,000",A,,,×,,〇,,,×,×,
25225621850,PVｼﾖ-ﾄEG(M),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25225621870,PVｼﾖ-ﾄEG(H),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25226125020,ｱﾒﾘｶ-ﾅDX*(15K),15,C/S,〇,"8,000",〇,"5,800",A,,,×,,,,,×,×,
25226126020,ｱﾒﾘｶｰﾅDX*(15K)DIR,15,C/S,〇,"8,000",〇,"5,800",A,,,×,,,,,×,×,
25230924830,ﾁｴｽﾀ-2000 10K (S),10,C/S,〇,"5,400",〇,"4,800",A,,,×,〇,〇,,,×,×,
25230924850,ﾁｴｽﾀ-2000 10K (M),10,C/S,〇,"5,400",〇,"4,800",A,,,×,〇,〇,,,×,×,
25230924870,ﾁｴｽﾀ-2000 10K (H),10,C/S,〇,"5,400",〇,"4,800",A,,,×,〇,〇,,,×,×,
25230924890,ﾁｴｽﾀ-2000 10K (HH),10,C/S,〇,"5,400",〇,"4,800",A,,,×,〇,〇,,,×,×,
25230925870,ﾁｴｽﾀ-2000 10K(H),10,C/S,〇,"5,400",〇,"4,800",A,,,×,〇,〇,,,×,×,
25232924850,NCｼﾖ-ﾄ(DIR)(M),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25240621830,ﾁｴｽﾀ-77KA (S),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25240621850,ﾁｴｽﾀ-77KA (M),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25240621870,ﾁｴｽﾀ-77KA (H),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25244422850,ｲﾄｳIK-NT(M),15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25244422870,ｲﾄｳIK-NT(H),15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25244821000,ﾊｲﾒﾛ-ｼｮ-ﾄLT-2,15,C/S,〇,"8,000",〇,"5,500",A,,,×,〇,,,,×,×,
25244822000,ﾊｲﾒﾛ-ｼﾖ-ﾄLT-2(DIR),15,C/S,〇,"8,000",〇,"5,500",A,,,×,〇,,,,×,×,
25245322000,ｲﾄｳCC-NT,15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25245322870,ｲﾄｳCC-NT(H),15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25249921000,ﾊﾟﾈﾘ-PV(13),15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25257021830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄHMO(S),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
